"","taxon_id","pro_id","pro_id_representative","sample","library","pep_bin_sum","pep_bin_n"
"187","uvig_356226","uvig_356226_14","uvig_356226_14","S3.0153.01X194","pepsyn",0,5
"188","uvig_356226","uvig_356226_14","uvig_356226_14","SO.0491.01X194","pepsyn",0,5
"189","uvig_356226","uvig_356226_14","uvig_356226_14","S3.0693.01.2X194","pepsyn",0,5
"190","uvig_356226","uvig_356226_14","uvig_356226_14","S3.0701.01.2X194","pepsyn",0,5
"191","uvig_356226","uvig_356226_10","uvig_356226_10","S3.0693.01X195","pepsyn",0,4
"192","uvig_356226","uvig_356226_10","uvig_356226_10","S3.0153.01X194","pepsyn",0,4
"193","uvig_356226","uvig_356226_10","uvig_356226_10","SO.0491.01X194","pepsyn",0,4
"194","uvig_356226","uvig_356226_10","uvig_356226_10","S3.0693.01.2X194","pepsyn",0,4
"195","uvig_356226","uvig_356226_10","uvig_356226_10","S3.0701.01.2X194","pepsyn",0,4
"196","uvig_356226","uvig_356226_100","uvig_356226_25","S3.0693.01X195","pepsyn",0,4
"197","uvig_356226","uvig_356226_100","uvig_356226_25","S3.0153.01X194","pepsyn",0,4
"198","uvig_356226","uvig_356226_100","uvig_356226_25","SO.0491.01X194","pepsyn",0,4
"199","uvig_356226","uvig_356226_100","uvig_356226_25","S3.0693.01.2X194","pepsyn",0,4
"200","uvig_356226","uvig_356226_100","uvig_356226_25","S3.0701.01.2X194","pepsyn",0,4
"201","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0693.01X195","dolphyn",0,4
"202","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0153.01X194","dolphyn",0,4
"203","uvig_356226","uvig_356226_11","uvig_356226_11","SO.0491.01X194","dolphyn",0,4
"204","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0693.01.2X194","dolphyn",0,4
"205","uvig_356226","uvig_356226_11","uvig_356226_11","S3.0701.01.2X194","dolphyn",0,4
"206","uvig_356226","uvig_356226_119","uvig_357864_36","S3.0693.01X195","pepsyn",0,4
"207","uvig_356226","uvig_356226_119","uvig_357864_36","S3.0153.01X194","pepsyn",0,4
"208","uvig_356226","uvig_356226_119","uvig_357864_36","SO.0491.01X194","pepsyn",0,4
"209","uvig_356226","uvig_356226_119","uvig_357864_36","S3.0693.01.2X194","pepsyn",0,4
"210","uvig_356226","uvig_356226_119","uvig_357864_36","S3.0701.01.2X194","pepsyn",0,4
"211","uvig_356226","uvig_356226_120","uvig_356226_45","S3.0693.01X195","pepsyn",1,4
"212","uvig_356226","uvig_356226_120","uvig_356226_45","S3.0153.01X194","pepsyn",0,4
"213","uvig_356226","uvig_356226_120","uvig_356226_45","SO.0491.01X194","pepsyn",0,4
"214","uvig_356226","uvig_356226_120","uvig_356226_45","S3.0693.01.2X194","pepsyn",0,4
"215","uvig_356226","uvig_356226_120","uvig_356226_45","S3.0701.01.2X194","pepsyn",0,4
"216","uvig_356226","uvig_356226_122","uvig_356226_47","S3.0693.01X195","pepsyn",0,4
"217","uvig_356226","uvig_356226_122","uvig_356226_47","S3.0153.01X194","pepsyn",0,4
"218","uvig_356226","uvig_356226_122","uvig_356226_47","SO.0491.01X194","pepsyn",1,4
"219","uvig_356226","uvig_356226_122","uvig_356226_47","S3.0693.01.2X194","pepsyn",0,4
"220","uvig_356226","uvig_356226_122","uvig_356226_47","S3.0701.01.2X194","pepsyn",0,4
"221","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0693.01X195","dolphyn",0,4
"222","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0153.01X194","dolphyn",1,4
"223","uvig_356226","uvig_356226_127","uvig_356226_52","SO.0491.01X194","dolphyn",0,4
"224","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0693.01.2X194","dolphyn",0,4
"225","uvig_356226","uvig_356226_127","uvig_356226_52","S3.0701.01.2X194","dolphyn",0,4
"226","uvig_356226","uvig_356226_130","uvig_356226_55","S3.0693.01X195","pepsyn",0,4
"227","uvig_356226","uvig_356226_130","uvig_356226_55","S3.0153.01X194","pepsyn",0,4
"228","uvig_356226","uvig_356226_130","uvig_356226_55","SO.0491.01X194","pepsyn",0,4
"229","uvig_356226","uvig_356226_130","uvig_356226_55","S3.0693.01.2X194","pepsyn",0,4
"230","uvig_356226","uvig_356226_130","uvig_356226_55","S3.0701.01.2X194","pepsyn",0,4
"231","uvig_356226","uvig_356226_131","uvig_356226_56","S3.0693.01X195","pepsyn",0,4
"232","uvig_356226","uvig_356226_131","uvig_356226_56","S3.0153.01X194","pepsyn",0,4
"233","uvig_356226","uvig_356226_131","uvig_356226_56","SO.0491.01X194","pepsyn",0,4
"234","uvig_356226","uvig_356226_131","uvig_356226_56","S3.0693.01.2X194","pepsyn",0,4
"235","uvig_356226","uvig_356226_131","uvig_356226_56","S3.0701.01.2X194","pepsyn",0,4
"236","uvig_356226","uvig_356226_133","uvig_356226_58","S3.0693.01X195","pepsyn",0,4
"237","uvig_356226","uvig_356226_133","uvig_356226_58","S3.0153.01X194","pepsyn",0,4
"238","uvig_356226","uvig_356226_133","uvig_356226_58","SO.0491.01X194","pepsyn",0,4
"239","uvig_356226","uvig_356226_133","uvig_356226_58","S3.0693.01.2X194","pepsyn",0,4
"240","uvig_356226","uvig_356226_133","uvig_356226_58","S3.0701.01.2X194","pepsyn",0,4
"241","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0693.01X195","dolphyn",1,4
"242","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0153.01X194","dolphyn",0,4
"243","uvig_356226","uvig_356226_135","uvig_356226_60","SO.0491.01X194","dolphyn",0,4
"244","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0693.01.2X194","dolphyn",0,4
"245","uvig_356226","uvig_356226_135","uvig_356226_60","S3.0701.01.2X194","dolphyn",0,4
"246","uvig_356226","uvig_356226_136","uvig_356226_61","S3.0693.01X195","pepsyn",0,4
"247","uvig_356226","uvig_356226_136","uvig_356226_61","S3.0153.01X194","pepsyn",1,4
"248","uvig_356226","uvig_356226_136","uvig_356226_61","SO.0491.01X194","pepsyn",1,4
"249","uvig_356226","uvig_356226_136","uvig_356226_61","S3.0693.01.2X194","pepsyn",0,4
"250","uvig_356226","uvig_356226_136","uvig_356226_61","S3.0701.01.2X194","pepsyn",0,4
"251","uvig_356226","uvig_356226_137","uvig_356226_62","S3.0693.01X195","pepsyn",0,4
"252","uvig_356226","uvig_356226_137","uvig_356226_62","S3.0153.01X194","pepsyn",0,4
"253","uvig_356226","uvig_356226_137","uvig_356226_62","SO.0491.01X194","pepsyn",0,4
"254","uvig_356226","uvig_356226_137","uvig_356226_62","S3.0693.01.2X194","pepsyn",0,4
"255","uvig_356226","uvig_356226_137","uvig_356226_62","S3.0701.01.2X194","pepsyn",0,4
"256","uvig_356226","uvig_356226_143","uvig_356226_68","S3.0693.01X195","pepsyn",0,4
"257","uvig_356226","uvig_356226_143","uvig_356226_68","S3.0153.01X194","pepsyn",0,4
"258","uvig_356226","uvig_356226_143","uvig_356226_68","SO.0491.01X194","pepsyn",0,4
"259","uvig_356226","uvig_356226_143","uvig_356226_68","S3.0693.01.2X194","pepsyn",0,4
"260","uvig_356226","uvig_356226_143","uvig_356226_68","S3.0701.01.2X194","pepsyn",0,4
"261","uvig_356226","uvig_356226_15","uvig_356226_15","S3.0693.01X195","pepsyn",0,4
"262","uvig_356226","uvig_356226_15","uvig_356226_15","S3.0153.01X194","pepsyn",0,4
"263","uvig_356226","uvig_356226_15","uvig_356226_15","SO.0491.01X194","pepsyn",0,4
"264","uvig_356226","uvig_356226_15","uvig_356226_15","S3.0693.01.2X194","pepsyn",0,4
"265","uvig_356226","uvig_356226_15","uvig_356226_15","S3.0701.01.2X194","pepsyn",0,4
"266","uvig_356226","uvig_356226_18","uvig_356226_18","S3.0693.01X195","pepsyn",0,4
"267","uvig_356226","uvig_356226_18","uvig_356226_18","S3.0153.01X194","pepsyn",0,4
"268","uvig_356226","uvig_356226_18","uvig_356226_18","SO.0491.01X194","pepsyn",0,4
"269","uvig_356226","uvig_356226_18","uvig_356226_18","S3.0693.01.2X194","pepsyn",0,4
"270","uvig_356226","uvig_356226_18","uvig_356226_18","S3.0701.01.2X194","pepsyn",0,4
"271","uvig_356226","uvig_356226_19","uvig_356226_19","S3.0693.01X195","pepsyn",0,4
"272","uvig_356226","uvig_356226_19","uvig_356226_19","S3.0153.01X194","pepsyn",0,4
"273","uvig_356226","uvig_356226_19","uvig_356226_19","SO.0491.01X194","pepsyn",0,4
"274","uvig_356226","uvig_356226_19","uvig_356226_19","S3.0693.01.2X194","pepsyn",0,4
"275","uvig_356226","uvig_356226_19","uvig_356226_19","S3.0701.01.2X194","pepsyn",0,4
