"","wildtypeIDs","sampleXplate","lhfc_G","lhfc_G4S"
"461","11926n-26170r-31723n","SMART025X195",3.68962917300448,5.39321837174276
"465","11926n-26170r-31723n","SMART028X194",0,3.38201456224538
"469","11926n-26170r-31723n","SMART030X194",0,2.10291389786498
"471","11926n-26170r-31723n","SMART036X194",0,2.17588743994809
"475","11926n-26170r-31723n","SMART040X195",0,1.83896107071235
"481","11926n-26170r-31723n","SMART050X194",0,2.6475922320651
"487","11926n-26170r-31723n","SMART057X195",0,1.67335123817775
"491","11926n-26170r-31723n","SMART066X194",0,2.49815187653802
"499","11926n-26170r-31723n","SMART078X194",0,2.7638002162067
"501","11926n-26170r-31723n","SMART079X195",0,2.34564458245449
"519","11926n-26170r-31723n","SMART095X195",0,2.53290284805626
"521","11926n-26170r-31723n","SMART096X194",3.22565280914722,4.70754625260496
"523","11926n-26170r-31723n","SMART097X195",4.09800452305359,5.90506207560686
"537","11926n-26170r-31723n","SMART108X195",0,1.66581824587021
"541","11926n-26170r-31723n","SMART115X195",0,2.19053558918542
"545","11926n-26170r-31723n","SMART118X195",0,3.27978275977172
"547","11926n-26170r-31723n","SMART119X194",0,1.7630170003624
"553","11926n-26170r-31723n","SMART125X195",0,2.15755932094379
"575","11926n-26170r-31723n","SMART164X194",0,3.03495298670727
"579","11926n-26170r-31723n","SMART171X195",0,1.84213567655312
"581","11926n-26170r-31723n","SMART173X195",0,2.33891702224144
"605","11926n-26170r-31723n","SMART240X195",0,1.74571553072665
"609","11926n-26170r-31723n","SMART242X194",0,4.20752442693206
"619","11926n-26170r-31723n","SMART267X195",0,3.84887019042288
"621","11926n-26170r-31723n","SMART269X195",0,2.16905370036952
"623","11926n-26170r-31723n","SMART271X194",4.07719840338713,6.4579149962793
"625","11926n-26170r-31723n","SMART277X194",0,1.7245507195346
"631","11926n-26170r-31723n","SMART298X195",0,1.66959183525385
"633","11926n-26170r-31723n","SMART303X195",3.82972776270132,5.75085688204213
"635","11926n-26170r-31723n","SMART306X195",0,3.07037581654976
"637","11926n-26170r-31723n","SMART307X195",0,1.79840401194672
"645","11926n-26170r-31723n","SMART315X194",0,2.11986345617875
"653","11926n-26170r-31723n","SMART325X195",0,1.87946504964716
"657","11926n-26170r-31723n","SMART332X194",0,1.79840401194672
"667","11926n-26170r-31723n","SMART357X195",0,3.11750733047991
"679","11926n-26170r-31723n","SMART376X195",0,3.54037944579549
"685","11926n-26170r-31723n","SMART397X195",0,2.22786154679811
"713","1198n-72404n-20718r","CSC032X195",4.73978848771285,4.91052025609328
"715","1198n-72404n-20718r","CSC034X195",3.35200713747138,3.92375392830384
"719","1198n-72404n-20718r","S3.0078.01X194",3.90519978008002,3.46479796307175
"721","1198n-72404n-20718r","S3.0137.01X195",2.86105737022739,3.27940632460823
"723","1198n-72404n-20718r","S3.0144.01X194",2.27109442590267,2.06812778177956
"727","1198n-72404n-20718r","S3.0153.01X194",5.81490635020313,5.35346821101288
"729","1198n-72404n-20718r","S3.0154.01X195",2.50552593699074,2.17361471169709
"732","1198n-72404n-20718r","S3.0169.01X194",4.18052225846315,3.82537519870247
"736","1198n-72404n-20718r","S3.0195.01X194",4.62996035479531,4.38202663467388
"739","1198n-72404n-20718r","S3.0500.01X195",3.8155121050473,4.1624703912697
"743","1198n-72404n-20718r","S3.0586.01X195",3.97029191355212,4.1227700364058
"745","1198n-72404n-20718r","S3.0598.01X195",3.99838417107619,4.32094878516529
"747","1198n-72404n-20718r","S3.0613.01X195",4.92638374164866,5.22493989674326
"751","1198n-72404n-20718r","S3.0617.01X194",2.54002594900908,2.10291389786498
"753","1198n-72404n-20718r","S3.0630.01X195",2.97297528643137,3.28278915061185
"774","1198n-72404n-20718r","S3.0693.01.2X194",4.5503971601408,4.17975744007023
"776","1198n-72404n-20718r","S3.0693.01X195",5.23989344641032,5.44388848986726
"778","1198n-72404n-20718r","S3.0698.01X194",4.16262606963851,3.58462943274014
"786","1198n-72404n-20718r","S3.0710.01X194",3.9265174515786,3.61818871349117
"790","1198n-72404n-20718r","S3.0720.01X195",3.62434093297637,3.86304282320643
"792","1198n-72404n-20718r","S3.0723.01X195",0,1.71739505393919
"800","1198n-72404n-20718r","S3.0906.01X194",3.30211342343826,2.98568193770049
"802","1198n-72404n-20718r","SMART003X194",4.69884266185073,4.43675153436313
"806","1198n-72404n-20718r","SMART014X194",3.5307625860168,3.03543364040554
"808","1198n-72404n-20718r","SMART015X195",5.16307021714001,5.30782205356228
"810","1198n-72404n-20718r","SMART019X195",0,1.95586047990848
"814","1198n-72404n-20718r","SMART023X195",1.71199450075919,1.9643112344262
"816","1198n-72404n-20718r","SMART025X195",2.17815501461587,2.89811944468699
"818","1198n-72404n-20718r","SMART027X195",0,3.47072344431077
"820","1198n-72404n-20718r","SMART028X194",4.44980209875439,4.13147976888436
"822","1198n-72404n-20718r","SMART029X195",0,1.9823798288367
"824","1198n-72404n-20718r","SMART030X194",5.24697143919645,4.96340391439082
"826","1198n-72404n-20718r","SMART036X194",2.15059873599616,2.14710019015365
"830","1198n-72404n-20718r","SMART040X195",1.79009141212736,5.38288826799831
"832","1198n-72404n-20718r","SMART041X195",6.07899453959334,6.32234977686041
"834","1198n-72404n-20718r","SMART048X194",4.19086612921272,3.65635626240838
"838","1198n-72404n-20718r","SMART051X194",4.94478035130023,4.60746754503677
"840","1198n-72404n-20718r","SMART053X195",0,1.89461685466776
"842","1198n-72404n-20718r","SMART057X195",0,1.97823903617067
"844","1198n-72404n-20718r","SMART062X195",0,1.69193913394584
"850","1198n-72404n-20718r","SMART073X195",2.37024374146786,2.84432781939476
"852","1198n-72404n-20718r","SMART077X195",5.20048400619927,5.53587651209656
"856","1198n-72404n-20718r","SMART079X195",3.21727454350123,3.73002139744511
"866","1198n-72404n-20718r","SMART088X194",6.56572965078693,6.27835255437343
"870","1198n-72404n-20718r","SMART093X195",5.22515510091905,5.53069812321473
"872","1198n-72404n-20718r","SMART094X194",3.1014427279761,2.93704327720531
"878","1198n-72404n-20718r","SMART097X195",0,1.87946504964716
"880","1198n-72404n-20718r","SMART098X194",4.87862655117589,4.4322443508345
"882","1198n-72404n-20718r","SMART100X195",4.65129012160164,4.75797710623185
"884","1198n-72404n-20718r","SMART102X194",2.34276688262688,2.40152504084895
"886","1198n-72404n-20718r","SMART103X195",0,1.7404661748405
"888","1198n-72404n-20718r","SMART104X194",3.63547867738682,3.20111910327894
"890","1198n-72404n-20718r","SMART106X195",2.38600670113312,2.88312332917134
"892","1198n-72404n-20718r","SMART108X195",0,1.64287268852034
"894","1198n-72404n-20718r","SMART110X195",4.58914242491089,4.89716793250747
"896","1198n-72404n-20718r","SMART115X195",4.1717684591869,4.6825940829529
"900","1198n-72404n-20718r","SMART118X195",2.21920348405499,2.47317139356958
"902","1198n-72404n-20718r","SMART119X194",5.79106048276326,5.34672650575572
"908","1198n-72404n-20718r","SMART125X195",4.25547085578578,4.42124734782716
"914","1198n-72404n-20718r","SMART129X195",3.53834721980939,3.79638766182922
"916","1198n-72404n-20718r","SMART136X194",6.14233843554211,5.76446983960228
"920","1198n-72404n-20718r","SMART147X195",0,1.83098018238134
"924","1198n-72404n-20718r","SMART151X195",0,1.84054963339749
"926","1198n-72404n-20718r","SMART155X195",4.53892354016916,4.92326021461125
"928","1198n-72404n-20718r","SMART160X194",1.67147330335355,0
"930","1198n-72404n-20718r","SMART164X194",4.97334870931024,4.56611745872439
"932","1198n-72404n-20718r","SMART170X194",1.708377860289,0
"934","1198n-72404n-20718r","SMART171X195",1.6467336971778,2.34468626901268
"938","1198n-72404n-20718r","SMART178X194",4.33112799924035,3.96062267526421
"940","1198n-72404n-20718r","SMART184X195",4.60706838327117,4.88794021407885
"942","1198n-72404n-20718r","SMART188X194",3.83406146395843,3.48400549284947
"944","1198n-72404n-20718r","SMART189X195",6.05215975466848,6.24292340940224
"946","1198n-72404n-20718r","SMART198X194",5.26796124653314,4.84387207621815
"948","1198n-72404n-20718r","SMART203X194",5.28492812942902,4.72286432880473
"950","1198n-72404n-20718r","SMART204X194",4.74901075596376,4.40280917385641
"954","1198n-72404n-20718r","SMART232X194",2.9922261342247,2.41054223449914
"956","1198n-72404n-20718r","SMART235X195",3.95085902921334,4.41908154262489
"958","1198n-72404n-20718r","SMART238X195",4.48458322299897,4.77912349311153
"960","1198n-72404n-20718r","SMART240X195",5.34185566856252,5.56922198126051
"966","1198n-72404n-20718r","SMART247X194",4.90682912537067,4.44488405605475
"968","1198n-72404n-20718r","SMART258X194",4.59066549978521,4.15997623565093
"974","1198n-72404n-20718r","SMART267X195",4.95603830289304,5.31044354634588
"976","1198n-72404n-20718r","SMART269X195",0,1.68639895357023
"980","1198n-72404n-20718r","SMART277X194",3.42165339022954,3.3057871968575
"982","1198n-72404n-20718r","SMART290X194",5.20301718669371,4.86991622715682
"984","1198n-72404n-20718r","SMART291X195",0,1.79508725932073
"986","1198n-72404n-20718r","SMART298X195",5.12735109379222,5.33189719981123
"990","1198n-72404n-20718r","SMART306X195",5.63646676737133,5.77975537341944
"992","1198n-72404n-20718r","SMART307X195",5.16855030848897,5.565822241561
"1000","1198n-72404n-20718r","SMART315X194",2.84781214347737,2.69867303928961
"1002","1198n-72404n-20718r","SMART320X195",1.6467336971778,2.78809290877575
"1006","1198n-72404n-20718r","SMART323X194",4.00460218672124,3.72617523885763
"1008","1198n-72404n-20718r","SMART325X195",0,1.89009536994892
"1010","1198n-72404n-20718r","SMART331X194",4.34029276618957,3.89345161984271
"1020","1198n-72404n-20718r","SMART351X195",4.63492314413744,4.73882657080077
"1022","1198n-72404n-20718r","SMART357X195",3.91382138736953,4.51808607908098
"1024","1198n-72404n-20718r","SMART360X195",0,1.61541998411165
"1026","1198n-72404n-20718r","SMART369X194",4.02141538219934,3.71161894108343
"1028","1198n-72404n-20718r","SMART370X195",2.44147709186066,2.97399778140798
"1030","1198n-72404n-20718r","SMART371X195",0,1.82937633279936
"1032","1198n-72404n-20718r","SMART372X194",1.91692261218206,0
"1034","1198n-72404n-20718r","SMART376X195",6.33448671459293,6.6056902661629
"1036","1198n-72404n-20718r","SMART384X194",6.14737795812563,5.77573097396878
"1038","1198n-72404n-20718r","SMART391X195",1.96850998097255,2.23108909128898
"1040","1198n-72404n-20718r","SMART397X195",0,1.97546895129686
"1046","1198n-72404n-20718r","SO.0456.01X195",1.71199450075919,2.11625551480255
"1050","1198n-72404n-20718r","SO.0479.01X195",4.87336358185601,5.20669537700072
"1062","1198n-72404n-20718r","SO.0749.01X194",2.52091708731103,2.2690283094652
"1064","1198n-72404n-20718r","SO.0761.01X194",5.02269560858862,4.63734691768331
"1072","12396n-60519n-47679r","CSC035X194",1.61740608208328,1.83896107071235
"1149","12396n-60519n-47679r","S3.0736.01X195",2.10169215061466,2.93863268151342
"1163","12396n-60519n-47679r","SMART015X195",2.12226153886276,0
"1165","12396n-60519n-47679r","SMART019X195",2.12465388450138,0
"1171","12396n-60519n-47679r","SMART025X195",0,1.71918877639322
"1173","12396n-60519n-47679r","SMART027X195",2.17928687664955,0
"1185","12396n-60519n-47679r","SMART040X195",2.58926666511224,2.4518667957098
"1191","12396n-60519n-47679r","SMART050X194",0,1.97962120639763
"1207","12396n-60519n-47679r","SMART077X195",1.79009141212736,0
"1221","12396n-60519n-47679r","SMART088X194",1.77155676191054,0
