"","taxon_id","pro_id","lfc","pep_no","triplet_id","sample"
"416","uvig_396640","uvig_396640_60",1.63510565918268,"pep3","dolphyn_8680768673135162522","S3.0153.01X194"
"417","ivig_4424","ivig_4424_51",1.63315443905142,"triplet","dolphyn_5867200969279154094","S3.0693.01.2X194"
"418","uvig_359660","uvig_359660_10",1.63315443905142,"pep3","dolphyn_4808440455956128424","S3.0153.01X194"
"419","uvig_356226","uvig_356226_50",1.62531126159039,"pep1","dolphyn_9032049106755881724","S3.0153.01X194"
"420","uvig_315082","uvig_315082_60",1.62334081760309,"pep2","dolphyn_2679185654020177539","S3.0153.01X194"
"421","uvig_80910","uvig_80910_6",1.62334081760309,"pep1","dolphyn_8989362103097529054","S3.0153.01X194"
"422","uvig_80910","uvig_80910_3",1.62334081760309,"pep1","dolphyn_1331713022849572150","S3.0153.01X194"
"423","uvig_356526","uvig_356526_15",1.62334081760309,"pep2","dolphyn_2629419548962437142","S3.0693.01X195"
"424","ivig_2475","ivig_2475_40",1.62334081760309,"pep1","dolphyn_1264323816676822068","S3.0693.01X195"
"425","uvig_578696","uvig_578696_34",1.62136648329937,"pep2","dolphyn_6864121023573623946","S3.0693.01X195"
"426","uvig_359660","uvig_359660_12",1.61938824328727,"triplet","dolphyn_7414084585888096695","S3.0693.01X195"
"427","uvig_357441","uvig_357441_27",1.61938824328727,"triplet","dolphyn_7699732162377460195","SO.0491.01X194"
"428","uvig_357534","uvig_357534_66",1.61740608208328,"pep3","dolphyn_39840900880083072","SO.0491.01X194"
"429","uvig_315082","uvig_315082_18",1.61740608208328,"pep1","dolphyn_3338085207032094404","S3.0153.01X194"
"430","ivig_3353","ivig_3353_60",1.61541998411165,"pep1","dolphyn_9141487855017976800","S3.0153.01X194"
"431","uvig_354790","uvig_354790_109",1.61143591509677,"pep2","dolphyn_2045099095359151811","S3.0153.01X194"
"432","uvig_354790","uvig_354790_109",1.6094379124341,"triplet","dolphyn_2045099095359151811","S3.0153.01X194"
"433","uvig_356526","uvig_356526_15",1.6094379124341,"triplet","dolphyn_2629419548962437142","S3.0693.01X195"
"434","uvig_357534","uvig_357534_66",1.6094379124341,"pep3","dolphyn_8853661438500247982","S3.0693.01X195"
"435","uvig_354826","uvig_354826_51",0,"triplet","dolphyn_186389931387680890","S3.0153.01X194"
"436","uvig_428798","uvig_428798_5",0,"triplet","dolphyn_2047838254304498571","S3.0153.01X194"
"437","uvig_315082","uvig_315082_60",0,"triplet","dolphyn_2679185654020177539","S3.0153.01X194"
"438","uvig_354753","uvig_354753_25",0,"triplet","dolphyn_3318523360688550007","S3.0693.01X195"
"439","uvig_428798","uvig_428798_120",0,"triplet","dolphyn_3654116643004035473","S3.0693.01X195"
"440","uvig_315082","uvig_315082_20",0,"triplet","dolphyn_368075727765277874","S3.0153.01X194"
"441","uvig_355854","uvig_355854_54",0,"triplet","dolphyn_5552664566303726527","S3.0693.01X195"
"442","uvig_357328","uvig_357328_36",0,"triplet","dolphyn_5927611401092579355","S3.0153.01X194"
"443","uvig_357864","uvig_357864_53",0,"triplet","dolphyn_60913799087811566","S3.0693.01X195"
"444","uvig_356955","uvig_356955_86",0,"triplet","dolphyn_6289604364671408435","S3.0693.01X195"
"445","uvig_315082","uvig_315082_21",0,"triplet","dolphyn_6873698798253845018","S3.0693.01X195"
"446","uvig_385029","uvig_385029_44",0,"triplet","dolphyn_7460487519894408954","S3.0693.01X195"
"447","uvig_355286","uvig_355286_105",0,"triplet","dolphyn_8062508387013727832","S3.0693.01X195"
"448","uvig_357534","uvig_357534_66",0,"triplet","dolphyn_8853661438500247982","S3.0693.01X195"
"449","uvig_356955","uvig_356955_84",0,"triplet","dolphyn_9015307227903015062","S3.0153.01X194"
"450","ivig_896","ivig_896_173",0,"triplet","dolphyn_9160780225642987009","S3.0153.01X194"
"451","uvig_372157","uvig_372157_1",0,"pep2","dolphyn_4152408593971051818","S3.0693.01X195"
"452","uvig_372157","uvig_372157_1",0,"pep2","dolphyn_4152408593971051818","S3.0693.01.2X194"
"453","uvig_354750","uvig_354750_35",0,"pep3","dolphyn_6372511819274151411","S3.0153.01X194"
"454","uvig_295951","uvig_295951_21",0,"pep3","dolphyn_6598573648173312698","S3.0693.01.2X194"
"455","uvig_295951","uvig_295951_21",0,"pep3","dolphyn_6598573648173312698","S3.0693.01X195"
"456","uvig_357441","uvig_357441_55",0,"pep1","dolphyn_6382814638260822359","S3.0693.01.2X194"
"457","uvig_357441","uvig_357441_55",0,"pep1","dolphyn_6382814638260822359","S3.0693.01X195"
"458","uvig_355854","uvig_355854_40",0,"pep2","dolphyn_7452648165798672700","SO.0491.01X194"
"459","uvig_354790","uvig_354790_83",0,"pep2","dolphyn_7920268146096793101","S3.0693.01X195"
"460","uvig_354790","uvig_354790_83",0,"pep2","dolphyn_7920268146096793101","S3.0693.01.2X194"
"461","uvig_357864","uvig_357864_16",0,"pep3","dolphyn_5786593082153716518","S3.0153.01X194"
"462","uvig_315082","uvig_315082_86",0,"pep1","dolphyn_2556759923678754406","S3.0153.01X194"
"463","uvig_358682","uvig_358682_22",0,"pep3","dolphyn_3559398535225935904","S3.0153.01X194"
"464","ivig_464","ivig_464_35",0,"pep1","dolphyn_4864816401500577584","S3.0153.01X194"
"465","ivig_4176","ivig_4176_40",0,"pep1","dolphyn_4068435768287974432","S3.0693.01X195"
"466","ivig_601","ivig_601_125",0,"pep2","dolphyn_3423128321780478719","S3.0153.01X194"
"467","uvig_356955","uvig_356955_82",0,"pep2","dolphyn_1099074316398906168","S3.0693.01X195"
"468","uvig_315082","uvig_315082_20",0,"pep1","dolphyn_368075727765277874","S3.0153.01X194"
"469","uvig_356526","uvig_356526_44",0,"pep2","dolphyn_2401386090760231348","SO.0491.01X194"
"470","ivig_2475","ivig_2475_40",0,"pep2","dolphyn_1264323816676822068","S3.0693.01X195"
"471","uvig_358797","uvig_358797_3",0,"pep3","dolphyn_8887811207448440133","S3.0693.01X195"
"472","uvig_358797","uvig_358797_3",0,"pep3","dolphyn_8887811207448440133","S3.0693.01.2X194"
"473","uvig_355286","uvig_355286_60",0,"pep1","dolphyn_4403652552875385949","SO.0491.01X194"
"474","uvig_354790","uvig_354790_60",0,"pep2","dolphyn_2408941275062933039","S3.0153.01X194"
"475","ivig_2475","ivig_2475_40",0,"pep3","dolphyn_1264323816676822068","S3.0693.01X195"
"476","uvig_356526","uvig_356526_32",0,"pep2","dolphyn_51845799048653238","S3.0153.01X194"
"477","uvig_356955","uvig_356955_8",0,"pep2","dolphyn_5681335419240110696","S3.0153.01X194"
"478","ivig_601","ivig_601_136",0,"pep2","dolphyn_8279259417365039821","SO.0491.01X194"
